product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Shoulder Bacon 5 x 1kg,38986.88,86.0,430.0,3,187,86.38041807761341,B,High Volume
French Polony 750g,38564.43,1290.0,967.5,713,188,86.4751794065368,B,High Volume
Eskort Deli Shoulder Bacon 6 x 1kg,38355.24,71.0,426.0,2,189,86.56942670939011,B,High Volume
Combo Deal 5,37846.61,434.0,0.0,222,190,86.66242419590411,B,Low Volume
RTE: Mini Chips 200g,37687.71,2551.0,149.2,941,191,86.75503122999432,B,High Volume
Combo Deal 8,37533.8,694.0,0.0,254,192,86.84726007319372,B,Low Volume
RTE Combo 9: 2 x Russians & Chips 200g,37494.11,1192.0,144.0,573,193,86.93939138928991,B,High Volume
Eskort Polony 20 x 500g,37083.159999999996,153.0,1530.0,14,194,87.0305129103983,B,High Volume
Frio Catering Vienna 2kg Loose,37029.99,475.0,950.0,319,195,87.12150378106384,B,High Volume
Bacon Special P/Kg,36625.82,1160.0,648.09,431,196,87.21150151670025,B,High Volume
French Polony 250g,36310.48,4039.0,1009.75,571,197,87.30072439225282,B,High Volume
VALUE RUSSIAN & CHIPS,35685.81,4071.0,14.25,452,198,87.3884123155362,B,Low Volume
Eskort Deli Cheese Griller 1kg,35163.61,318.0,318.0,229,199,87.47481707799072,B,High Volume
RTE: Burger R10,34921.98,4020.0,102.6,696,200,87.56062810212451,B,High Volume
Eskort Marinated Rib Burger 500g,34920.57,928.0,464.0,439,201,87.64643566157663,B,High Volume
Seven Colours Grill Seasoning 200g,34914.47,1825.0,365.0,797,202,87.73222823198037,B,High Volume
Supreme Soup Pack 1kg,34621.46,1754.0,1754.0,671,203,87.8173008120462,B,High Volume
Pepsi Can 500ml,34468.9,3306.0,1653.0,839,204,87.90199851846964,B,High Volume
Butchery Chicken Hamper Chilled (3.6kg),34180.91,177.0,633.66,147,205,87.98598856980477,B,High Volume
Coke 2L,34150.89,1233.0,2466.0,651,206,88.0699048553642,B,High Volume
Mexican Chilli Marinated Loin Ribs 750g,33707.47,326.0,244.5,231,207,88.15273155996854,B,High Volume
Combo Deal 1,33510.44,707.0,0.0,155,208,88.2350741183107,B,Low Volume
